main_category,subcategory,sub_subcategory,author_name,date,volume,page
works,otherSeparateWorks,troilus,Wyatt,[a. 1542],I,83-84
works,otherSeparateWorks,troilus,Lindsay,[1548?],I,88
works,otherSeparateWorks,troilus,Unknown,[1549?],I,89
works,otherSeparateWorks,troilus,Howell,[1567-8?],I,100
works,otherSeparateWorks,troilus,Gascoigne,1575,I,110
works,otherSeparateWorks,troilus,Whetstone,1576,I,113
works,otherSeparateWorks,troilus,Lyly,[1578],I,115
works,otherSeparateWorks,troilus,Kirke,1579,I,117
works,otherSeparateWorks,troilus,Howell,1581,I,120
works,otherSeparateWorks,troilus,Stanihurst,1582,I,122
works,otherSeparateWorks,troilus,Melbancke,1583,IV,107
works,otherSeparateWorks,troilus,Unknown,1595,I,142
works,otherSeparateWorks,troilus,Scoloker,1604,I,175
works,otherSeparateWorks,troilus,Tofte,1615,IV,108
works,otherSeparateWorks,troilus,Brathwait,1621,IV,108
works,otherSeparateWorks,troilus,Kynaston,1612,I,222
works,otherSeparateWorks,troilus,Godwin,1803,II,6-8
works,otherSeparateWorks,troilus,Campbell,1819,II,112
works,otherSeparateWorks,troilus,Campbell,1830,II,177-178
works,otherSeparateWorks,troilus,Collier,1832,II,184
works,otherSeparateWorks,troilus,Coleridge,[n.a. 1848],II,276
works,otherSeparateWorks,troilus,Lloyd,1856,III,30-13
works,otherSeparateWorks,troilus,Fischer,1899,V,152.
works,otherSeparateWorks,astrolabe,Unknown,[c. 1680-90],I,255
works,otherSeparateWorks,astrolabe,Unknown,[c. 1560?],I,95
works,otherSeparateWorks,astrolabe,Brae,1870,III,107
works,otherSeparateWorks,astrolabe,Stevins,[c. 1555],I,92-93
works,otherSeparateWorks,astrolabe,Lydgate,1430,I,36-43
works,otherSeparateWorks,astrolabe,Twyne,1608,I,180-181
works,otherSeparateWorks,astrolabe,Peacham,1622,I,197
works,otherSeparateWorks,astrolabe,Henry,1781,I,460
works,otherSeparateWorks,astrolabe,Halliwell-Phillips,1840,II,227
works,otherSeparateWorks,astrolabe,Selden,[1612],I,186.
works,otherSeparateWorks,romauntRose,Chaucer,1532,I,78
works,otherSeparateWorks,romauntRose,Chaucer,1846,II,267
works,otherSeparateWorks,romauntRose,Lydgate,[1430],I,36-43
works,otherSeparateWorks,romauntRose,Unknown,[c. 1536-40],I,82
works,otherSeparateWorks,romauntRose,B.,1569,I,103
works,otherSeparateWorks,romauntRose,Corbet,[a. 1635],I,206
works,otherSeparateWorks,romauntRose,Thevet,1735,V,22
works,otherSeparateWorks,romauntRose,Peacham,1622,I,197
works,otherSeparateWorks,romauntRose,Brink,1867,V,147
works,otherSeparateWorks,romauntRose,Kittredge,1892,III,144
works,otherSeparateWorks,romauntRose,Kaluza,1893,V,152
works,otherSeparateWorks,romauntRose,Sandras,1859,V,70.
works,otherSeparateWorks,rosamounde,Skeat,1891,III,139
works,otherSeparateWorks,rosamounde,Ker,1891,III,140.
works,otherSeparateWorks,formerAge,Unknown,[c. 1420],I,26.
works,otherSeparateWorks,scoganEnvoy,Unknown,[c. 1445],I,47
works,otherSeparateWorks,scoganEnvoy,Chaucer,[1477-8],I,58.
works,otherSeparateWorks,legendGoodWomen,Kunz,1888,V,151
works,otherSeparateWorks,legendGoodWomen,Unknown,[c. 1488],I,63-64
works,otherSeparateWorks,legendGoodWomen,Gemsege,1758,I,413-414
works,otherSeparateWorks,legendGoodWomen,Bradshaw,1864,III,72
works,otherSeparateWorks,legendGoodWomen,Powell (?),1841,II,234
works,otherSeparateWorks,legendGoodWomen,Unknown,1803,II,13
works,otherSeparateWorks,legendGoodWomen,Edward,[1406-13],I,18
works,otherSeparateWorks,legendGoodWomen,Lydgate,1430,I,36-43
works,otherSeparateWorks,legendGoodWomen,Hawes,1506,I,67
works,otherSeparateWorks,legendGoodWomen,Douglas,1513,I,72
works,otherSeparateWorks,legendGoodWomen,Bossewell,1572,I,108-109
works,otherSeparateWorks,legendGoodWomen,Heale,1609,I,184
works,otherSeparateWorks,legendGoodWomen,Fletcher,[1634],I,206
works,otherSeparateWorks,legendGoodWomen,Tennyson,1832,II,186
works,otherSeparateWorks,legendGoodWomen,Ruskin,1867,III,93
works,otherSeparateWorks,legendGoodWomen,Manly,1890,III,139
works,otherSeparateWorks,legendGoodWomen,Legouis,1900,V,106
works,otherSeparateWorks,legendGoodWomen,Lecoq,1900,V,106.
works,otherSeparateWorks,complaintPity,Unknown,[c. 1440],I,45
works,otherSeparateWorks,complaintPity,Unknown,[c. 1450],I,50
works,otherSeparateWorks,complaintPity,Furnivall,1873,III,113
works,otherSeparateWorks,complaintPity,Minto,1874,III,119.
works,otherSeparateWorks,anelidaArcite,Chaucer,[1477-8],I,58
works,otherSeparateWorks,anelidaArcite,Horne,1841,II,234-238
works,otherSeparateWorks,anelidaArcite,Lydgate,[1402-3],I,15-16
